Close,High,Low,Open,Volume,NewsCount,SentimentMean,SentimentSum,SentimentSTD,NegativeRatio,NeutralRatio,PositiveRatio,Return,Volatility_3d,Volatility_7d,MA_3,MA_7,Momentum_3,Momentum_7,Target,Return_1,Return_3,Lag_Close_1,Lag_Close_3,Lag_Return_1,Body,Range,Body_Range,MA3,MA5,Volatility_3,Volatility_5,RSI14,Sentiment_Lag_1,Sentiment_Lag_3,News_Lag_1,News_Lag_3,Future_Return_1,Label
170.5379180908203,171.5634096930417,168.13851111414587,169.32328866587017,31796500.0,11.0,-0.3333333333333333,2.0,0.4138764216704655,0.5,0.3333333333333333,0.1666666666666666,0.0010519831023478,0.0237691243324051,0.0153386062802235,171.53020731608072,168.37176513671875,4.3707122802734375,5.9437713623046875,0.0,0.0010519831023478865,0.009488386393533332,170.35870361328125,168.93499755859375,-0.019202140696692793,1.2146294249501466,3.424898578895835,0.3546468302549663,170.99590047200522,168.70401306152343,0.02489463746845737,0.017863798422759435,66.08084908892423,0.6428571428571429,0.5735930735930735,14.0,10.666666666666666,-0.011967925551518377,0.0
168.49693298339844,169.98038120201446,167.27232253666486,169.18389067835992,21492700.0,6.0,0.6666666666666666,4.0,0.816496580927726,0.1666666666666666,0.0,0.8333333333333334,-0.0119679255515183,0.0069096850388105,0.0162591828135299,169.8575897216797,170.442626953125,1.6029205322265625,8.472610473632812,1.0,-0.011967925551518377,-0.029920821982551526,170.5379180908203,173.69400024414062,0.0010519831023478865,-0.6869576949614782,2.708058665349597,-0.2536716444703739,171.53020731608072,169.90272216796876,0.02376912433240517,0.017947474458241075,63.80282151419613,-0.3333333333333333,0.22438672438672444,11.0,12.0,0.0029543726735017373,1.0
168.99473571777344,169.78126041606683,168.09867819204692,168.6860840596654,18242100.0,11.0,0.7272727272727273,8.0,0.6466697906828632,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0029543726735017,0.0079018409692199,0.0148055570557768,169.34319559733072,170.45116097586495,-5.1970672607421875,6.49139404296875,1.0,0.0029543726735017373,-0.00800644678891227,168.49693298339844,170.35870361328125,-0.011967925551518377,0.3086516581080332,1.6825822240199102,0.18343927191303838,169.7978515625,170.40451049804688,0.010263863965295576,0.019823525243806022,57.7205624561755,0.6666666666666666,0.3253968253968254,6.0,10.333333333333334,0.03988446660157852,1.0
175.73500061035156,176.16312052987965,172.7382219408271,173.03690778369432,33695500.0,12.0,0.5833333333333334,7.0,0.5149286505444373,0.0,0.4166666666666667,0.5833333333333334,0.0398844666015785,0.0266932494395479,0.0186611999728586,171.07555643717447,170.74273245675224,-1.3639678955078125,4.4503631591796875,1.0,0.03988446660157852,0.03047464503913755,168.99473571777344,170.5379180908203,0.0029543726735017373,2.698092826657245,3.4248985890525603,0.7877876545838475,169.34319559733072,170.4164581298828,0.008122110683723108,0.018132630695674036,59.27875608027925,0.7272727272727273,0.35353535353535354,11.0,9.333333333333334,0.024021337558518985,1.0
179.95639038085938,180.28494329004707,176.41202351829116,176.63105879108298,25352900.0,9.0,0.5555555555555556,5.0,0.881917103688197,0.2222222222222222,0.0,0.7777777777777778,0.0240213375585189,0.0185260524219268,0.0176717918735501,174.89537556966147,172.11383056640625,5.19708251953125,9.74700927734375,0.0,0.024021337558518985,0.06800988715082434,175.73500061035156,168.49693298339844,0.03988446660157852,3.325331589776397,3.872919771755903,0.8586110184949065,171.07555643717447,170.824658203125,0.02669324943954793,0.02280458059511543,73.23748855920758,0.5833333333333334,0.6590909090909091,12.0,9.666666666666666,-0.013277939550716433,0.0
177.5669403076172,180.1057320918823,177.29812151933496,179.85682974504894,22006200.0,10.0,0.5833333333333334,7.0,0.2357022603955158,0.0416666666666666,0.3333333333333333,0.625,-0.0132779395507164,0.0272919901674766,0.019359173455377,177.75277709960938,173.11797659737724,11.459457397460938,11.021392822265625,0.0,-0.013277939550716433,0.05072468413548448,179.95639038085938,168.99473571777344,0.024021337558518985,-2.2898894374317535,2.8076105725473326,-0.8156008029824974,174.89537556966147,172.74419555664062,0.01852605242192681,0.020584642882310423,76.28144936213414,0.5555555555555556,0.6220538720538721,9.0,10.666666666666666,0.011213860722330438,1.0
179.5581512451172,179.7572700755342,177.68640081725275,177.79591845275107,17450400.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0112138607223304,0.0064743255066924,0.0176955144336419,178.23067728678384,176.7064426967076,8.57220458984375,3.8729400634765625,1.0,0.011213860722330438,0.02175520312679491,177.5669403076172,175.73500061035156,-0.013277939550716433,1.7622327923661203,2.070869258281448,0.8509628434141441,177.75277709960938,174.15,0.02729199016747667,0.023182473900722998,70.56451808694109,0.5833333333333334,0.5740740740740741,10.0,10.333333333333334,0.007041838796491007,1.0
180.82257080078125,181.68876129211964,178.60236613626623,179.03048606955645,25134900.0,15.0,0.8,12.0,0.4140393356054125,0.0,0.2,0.8,0.007041838796491,0.0056678028206891,0.017519455066597,179.31588745117188,178.39613342285156,3.823150634765625,9.199447631835938,0.0,0.007041838796491007,0.004813279584507724,179.5581512451172,179.95639038085938,0.011213860722330438,1.7920847312248043,3.0863951558534097,0.5806400803299863,179.02716064453125,176.36224365234375,0.018952202230857224,0.020241486727503154,71.33240187438201,1.0,0.7129629629629629,6.0,8.333333333333334,-0.015086425862174346,0.0
178.0946044921875,180.16547375277025,177.75608576913012,179.66766908027805,23184000.0,4.0,0.25,1.0,0.957427107756338,0.25,0.25,0.5,-0.0150864258621743,0.0141348914521283,0.0137150463112772,179.4917755126953,178.73321969168526,0.866180419921875,10.284652709960938,0.0,-0.015086425862174346,0.0029716352810731372,180.82257080078125,177.5669403076172,0.007041838796491007,-1.5730645880905456,2.40938798364013,-0.6528896959608566,179.31588745117188,178.72781066894532,0.013103100394207872,0.019814439794250936,77.2569158041313,0.8,0.7944444444444446,15.0,10.333333333333334,-0.0184481007244246,0.0
174.80909729003906,178.03487716000262,173.55463493650558,177.49723958577857,31007500.0,20.0,0.85,17.0,0.4893604849295929,0.05,0.05,0.9,-0.0184481007244246,0.0138485737620844,0.0115691838748535,177.90875752766928,177.99789210728235,0.5276641845703125,9.597671508789062,0.0,-0.0184481007244246,-0.02644855676084079,178.0946044921875,179.5581512451172,-0.015086425862174346,-2.6881422957395102,4.480242223497044,-0.5999993218315965,179.4917755126953,179.1997314453125,0.014134891452128337,0.01671492044158985,71.69714257258596,0.25,0.6833333333333332,4.0,8.333333333333334,-0.017598892625701024,0.0
