Date,Close,High,Low,Open,Volume,NewsCount,SentimentMean,SentimentSum,SentimentSTD,NegativeRatio,NeutralRatio,PositiveRatio,Return,Volatility_3d,Volatility_7d,MA_3,MA_7,Momentum_3,Momentum_7,Target
2024-10-10,161.36834716796875,162.35400578293851,159.69571574787986,160.1636533052279,14144100,4.0,0.5,2.0,0.5773502691896257,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024-10-11,162.5232696533203,163.18036025385564,160.53205102817606,161.41814270869355,15344300,14.0,0.7666666666666666,11.0,0.47760405171781556,0.0,0.2333333333333333,0.7666666666666666,0.0071570571653027,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-10-14,164.2357177734375,165.50013065374594,162.6825544952434,162.9215061976869,19016100,7.0,0.2857142857142857,2.0,0.7559289460184544,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.0105366334542125,0.006083328161142,0.0,163.09408569335938,0.0,1.7124481201171875,0.0,1
2024-10-15,164.73353576660156,166.94377462807307,163.90717815283185,165.06207349535208,20247200,9.0,0.8888888888888888,8.0,0.3333333333333333,0.0,0.1111111111111111,0.8888888888888888,0.0030311189302365,0.0054243444271678,0.0,163.83084106445312,0.0,2.21026611328125,0.0,0
2024-10-16,164.43484497070312,165.07203435121127,163.02108150744417,163.80760621471472,16406000,7.0,0.5714285714285714,4.0,0.7867957924694432,0.1428571428571428,0.1428571428571428,0.7142857142857143,-0.0018131754078394,0.0062225090710091,0.0,164.46803283691406,163.1917506626674,1.9115753173828125,0.0,0
2024-10-17,162.21463012695312,165.63952884881675,162.04537835418347,165.0023394488277,21453400,13.0,0.7692307692307693,10.0,0.5991446895152781,0.0769230769230769,0.0769230769230769,0.8461538461538461,-0.0135020946694452,0.008499462464091,0.0076686104127819,163.7943369547526,163.3126482282366,-2.021087646484375,0.846282958984375,1
2024-10-18,162.70248413085938,163.98682874694387,162.36398058545478,162.47349822564962,19757700,26.0,0.48055555555555557,15.0,0.5175457156378184,0.0,0.5194444444444444,0.48055555555555557,0.0030074599530538,0.0084895499745306,0.0072413227175127,163.11731974283853,163.3382502964565,-2.0310516357421875,0.1792144775390625,0
2024-10-21,163.34963989257812,163.77774463817315,161.90599412379152,162.234547045473,20946500,4.0,0.5,2.0,1.0,0.25,0.0,0.75,0.0039775407559128,0.0022964342261389,0.0059949412362866,162.91820271809897,163.26287187848772,0.64715576171875,-0.886077880859375,1
2024-10-22,164.41493225097656,165.0421710211609,162.26441234616763,162.26441234616763,16568100,5.0,0.6,3.0,0.5477225575051662,0.0,0.4,0.6,0.0065215470269723,0.0032869279983278,0.0064874626934646,163.48901875813803,163.2173570905413,1.7124481201171875,-0.318603515625,0
2024-10-23,162.0653076171875,165.09196890043052,161.21903349459384,164.03661010564252,18280500,6.0,0.8333333333333334,5.0,0.408248290463863,0.0,0.1666666666666666,0.8333333333333334,-0.014290822625541,0.0113531185076824,0.0084140081574292,163.27662658691406,162.87885175432478,-0.637176513671875,-2.369537353515625,0
2024-10-24,162.0055389404297,162.61286119271972,160.30304043260298,162.11505656598337,22412500,4.0,1.0,4.0,0.0,0.0,0.0,1.0,-0.0003687937760189,0.0106023143245641,0.0067276779479818,162.8285929361979,162.84898158482142,-1.3441009521484375,-0.2090911865234375,1
2024-10-25,164.54437255859375,164.86295967221815,162.70248906090407,162.9513914150895,19828900,18.0,0.625,6.0,0.223606797749979,0.0,0.375,0.625,0.0156712766413351,0.0149935215941127,0.0090312028475891,162.87173970540366,163.1121085030692,0.1294403076171875,1.841888427734375,0
2024-10-28,165.9879913330078,168.00907708946656,163.23014919167423,168.00907708946656,32138600,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0087734314578276,0.0078543223693506,0.0093674859721089,165.02557881673178,163.84459359305245,3.982452392578125,3.285507202148437,1
2024-10-29,168.93499755859375,169.63193629969666,166.35637283025375,166.99356224559247,42169000,7.0,0.7142857142857143,5.0,0.4879500364742666,0.0,0.2857142857142857,0.7142857142857143,0.0177543339245163,0.0088773689961666,0.0109463607806039,166.48912048339844,164.6425018310547,4.390625,5.585357666015625,1
2024-10-30,173.69400024414062,181.220803908328,173.29574742034202,179.88667593834245,68890800,11.0,0.3636363636363636,4.0,0.8090398349558905,0.1818181818181818,0.2727272727272727,0.5454545454545454,0.0281706144630939,0.009707438882238,0.0140970024667295,169.53899637858072,165.96808297293526,9.149627685546877,9.279067993164062,0
2024-10-31,170.35870361328125,176.0436392565969,170.24918598538505,172.36983860201502,44769000,14.0,0.6428571428571429,9.0,0.4972451580988469,0.0,0.3571428571428571,0.6428571428571429,-0.0192021406966927,0.0248946374684573,0.0154465519955515,170.99590047200522,167.1528538295201,4.3707122802734375,8.29339599609375,1
2024-11-01,170.5379180908203,171.5634096930417,168.13851111414587,169.32328866587017,31796500,11.0,-0.3333333333333333,2.0,0.4138764216704655,0.5,0.3333333333333333,0.16666666666666666,0.0010519831023478,0.0237691243324051,0.0153386062802235,171.53020731608072,168.37176513671875,1.6029205322265625,8.532379150390625,0
2024-11-04,168.49693298339844,169.98038120201446,167.27232253666486,169.18389067835992,21492700,6.0,0.6666666666666666,4.0,0.816496580927726,0.1666666666666666,0.0,0.8333333333333334,-0.0119679255515183,0.0069096850388105,0.0162591828135299,169.8575897216797,170.442626953125,-2.040985107421875,2.508941650390625,1
2024-11-05,168.99473571777344,169.78126041606683,168.09867819204692,168.6860840596654,18242100,11.0,0.7272727272727273,8.0,0.6466697906828632,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0029543726735017,0.0079018409692199,0.0148055570557768,169.34319559733072,170.45116097586495,-1.543182373046875,0.0597381591796875,1
2024-11-06,175.73500061035156,176.16312052987965,172.7382219408271,173.03690778369432,33695500,12.0,0.5833333333333334,7.0,0.5149286505444373,0.0,0.4166666666666667,0.5833333333333334,0.0398844666015785,0.0266932494395479,0.0186611999728586,171.07555643717447,170.74273245675224,5.19708251953125,2.041000366210937,1
2024-11-07,179.95639038085938,180.28494329004707,176.41202351829116,176.63105879108298,25352900,9.0,0.5555555555555556,5.0,0.881917103688197,0.2222222222222222,0.0,0.7777777777777778,0.0240213375585189,0.0185260524219268,0.0176717918735501,174.89537556966147,172.11383056640625,11.459457397460938,9.597686767578123,0
2024-11-08,177.5669403076172,180.1057320918823,177.29812151933496,179.85682974504894,22006200,10.0,0.5833333333333334,7.0,0.23570226039551587,0.041666666666666664,0.3333333333333333,0.625,-0.0132779395507164,0.0272919901674766,0.019359173455377,177.75277709960938,173.11797659737724,8.57220458984375,7.029022216796875,0
2024-11-11,179.5581512451172,179.7572700755342,177.68640081725275,177.79591845275107,17450400,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0112138607223304,0.0064743255066924,0.0176955144336419,178.23067728678384,176.7064426967076,1.9912109375,11.06121826171875,1
2024-11-12,180.82257080078125,181.68876129211964,178.60236613626623,179.03048606955645,25134900,15.0,0.8,12.0,0.4140393356054125,0.0,0.2,0.8,0.007041838796491,0.0056678028206891,0.017519455066597,179.31588745117188,178.39613342285156,3.2556304931640625,11.827835083007812,0
2024-11-13,178.0946044921875,180.16547375277025,177.75608576913012,179.66766908027805,23184000,4.0,0.25,1.0,0.957427107756338,0.25,0.25,0.5,-0.0150864258621743,0.0141348914521283,0.0137150463112772,179.4917755126953,178.73321969168526,0.5276641845703125,2.359603881835937,0
2024-11-14,174.80909729003906,178.03487716000262,173.55463493650558,177.49723958577857,31007500,20.0,0.85,17.0,0.4893604849295929,0.05,0.05,0.9,-0.0184481007244246,0.0138485737620844,0.0115691838748535,177.90875752766928,177.99789210728235,-4.749053955078125,-5.1472930908203125,0
